,Season,Team,W_x,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,W_y
3,2015.0,Mets,90.0,72.0,50.0,647.0,162.0,1462.2,1337.0,8.23,2.36,0.94,0.288,0.743,0.46299999999999997,0.10800000000000001,3.45,3.53,3.6,19.0,90
4,2015.0,Dodgers,92.0,70.0,47.0,677.0,162.0,1445.2,1396.0,8.69,2.46,0.9,0.296,0.747,0.501,0.121,3.46,3.41,3.33,19.7,92
5,2015.0,Astros,86.0,76.0,39.0,644.0,162.0,1441.0,1280.0,7.99,2.64,0.92,0.285,0.738,0.473,0.109,3.57,3.66,3.71,18.9,86
6,2015.0,Nationals,83.0,79.0,41.0,630.0,162.0,1434.2,1342.0,8.42,2.28,0.91,0.3,0.727,0.447,0.10300000000000001,3.62,3.45,3.58,22.2,83
7,2015.0,Indians,81.0,80.0,38.0,637.0,161.0,1432.2,1407.0,8.84,2.67,1.01,0.288,0.728,0.445,0.11699999999999999,3.68,3.62,3.57,21.1,81
8,2015.0,Giants,84.0,78.0,41.0,719.0,162.0,1444.1,1165.0,7.26,2.69,0.97,0.283,0.745,0.46,0.10800000000000001,3.73,3.92,3.99,8.8,84
9,2015.0,Royals,95.0,67.0,56.0,655.0,162.0,1452.0,1160.0,7.19,3.03,0.96,0.286,0.75,0.428,0.099,3.74,4.04,4.25,13.8,95
10,2015.0,Rays,80.0,82.0,60.0,692.0,162.0,1453.1,1355.0,8.39,2.95,1.08,0.284,0.7509999999999999,0.418,0.11199999999999999,3.74,3.91,3.94,14.7,80
11,2015.0,Blue Jays,93.0,69.0,34.0,631.0,162.0,1441.0,1117.0,6.98,2.48,1.08,0.278,0.727,0.43700000000000006,0.11,3.81,4.09,4.14,13.7,93
12,2015.0,White Sox,76.0,86.0,37.0,576.0,162.0,1452.2,1359.0,8.42,2.94,1.0,0.311,0.7290000000000001,0.452,0.114,3.98,3.82,3.81,17.4,76
13,2015.0,Yankees,87.0,75.0,48.0,659.0,162.0,1457.2,1370.0,8.46,2.93,1.12,0.3,0.738,0.47,0.136,4.03,3.97,3.7,18.4,87
14,2015.0,Marlins,71.0,91.0,35.0,648.0,162.0,1427.0,1152.0,7.27,3.2,0.89,0.294,0.723,0.445,0.095,4.04,3.98,4.23,12.2,71
15,2015.0,Diamondbacks,79.0,83.0,44.0,712.0,162.0,1466.2,1215.0,7.46,3.07,1.12,0.294,0.737,0.457,0.12300000000000001,4.05,4.21,4.09,10.6,79
16,2015.0,Orioles,81.0,81.0,43.0,615.0,162.0,1434.2,1233.0,7.73,3.03,1.09,0.298,0.736,0.452,0.12,4.05,4.11,4.04,15.8,81
17,2015.0,Twins,83.0,79.0,45.0,682.0,162.0,1443.0,1046.0,6.52,2.58,1.02,0.3,0.728,0.44,0.10400000000000001,4.07,4.1,4.23,16.0,83
18,2015.0,Padres,74.0,88.0,41.0,678.0,162.0,1440.1,1393.0,8.7,3.22,1.07,0.303,0.711,0.469,0.133,4.09,3.93,3.71,9.7,74
19,2015.0,Athletics,68.0,94.0,28.0,649.0,162.0,1444.2,1179.0,7.34,2.95,1.07,0.289,0.71,0.45,0.114,4.16,4.13,4.13,13.0,68
20,2015.0,Mariners,76.0,86.0,45.0,671.0,162.0,1463.0,1283.0,7.89,3.02,1.11,0.298,0.728,0.46299999999999997,0.125,4.16,4.14,3.99,9.1,76
21,2015.0,Rangers,88.0,74.0,45.0,660.0,162.0,1442.2,1095.0,6.83,3.17,1.07,0.294,0.7240000000000001,0.442,0.11199999999999999,4.25,4.34,4.37,11.0,88
22,2015.0,Brewers,68.0,94.0,40.0,658.0,162.0,1435.0,1260.0,7.9,3.24,1.1,0.303,0.721,0.461,0.127,4.28,4.17,4.0,9.9,68
23,2015.0,Red Sox,78.0,84.0,40.0,637.0,162.0,1448.1,1218.0,7.57,2.97,1.11,0.305,0.7170000000000001,0.441,0.11599999999999999,4.34,4.17,4.14,11.8,78
24,2015.0,Reds,64.0,98.0,35.0,683.0,162.0,1453.1,1252.0,7.75,3.37,1.1,0.297,0.7170000000000001,0.441,0.121,4.35,4.24,4.14,10.8,64
25,2015.0,Braves,67.0,95.0,44.0,694.0,162.0,1425.1,1148.0,7.25,3.47,1.07,0.305,0.7140000000000001,0.434,0.113,4.41,4.34,4.36,7.0,67
26,2015.0,Tigers,74.0,87.0,35.0,666.0,161.0,1447.0,1100.0,6.84,3.04,1.2,0.298,0.6970000000000001,0.429,0.12,4.64,4.46,4.36,11.7,74
27,2015.0,Phillies,63.0,99.0,35.0,665.0,162.0,1436.1,1153.0,7.22,3.06,1.2,0.316,0.711,0.44,0.122,4.69,4.4,4.29,10.3,63
28,2015.0,Rockies,68.0,94.0,36.0,746.0,162.0,1426.1,1112.0,7.02,3.65,1.15,0.318,0.6990000000000001,0.47700000000000004,0.132,5.04,4.56,4.33,8.3,68
