,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
24,2006.0,Cubs,2399.0,6147.0,166.0,716.0,677.0,121.0,0.064,0.151,0.154,0.294,0.268,0.319,0.422,0.32,84.0,,-1.0,-128.9,65.3,13.7,66.0,96.0,29.0,704.0,162.0,1439.0,1250.0,7.82,4.3,1.31,0.286,0.7090000000000001,0.41600000000000004,0.128,4.74,4.88,4.58,10.4,66
25,2006.0,Rockies,2306.0,6348.0,157.0,813.0,761.0,85.0,0.08800000000000001,0.175,0.163,0.31,0.27,0.341,0.433,0.333,87.0,,-2.7,-111.8,39.3,13.5,76.0,86.0,34.0,661.0,162.0,1447.1,952.0,5.92,3.44,0.96,0.304,0.695,0.457,0.096,4.66,4.51,4.68,17.3,76
26,2006.0,Diamondbacks,2282.0,6330.0,160.0,773.0,743.0,76.0,0.08,0.152,0.157,0.294,0.267,0.331,0.424,0.326,87.0,,-6.6,-112.3,12.3,10.8,76.0,86.0,34.0,623.0,162.0,1459.2,1115.0,6.87,3.3,1.04,0.299,0.7040000000000001,0.46799999999999997,0.111,4.49,4.34,4.3,19.0,76
27,2006.0,Pirates,2325.0,6218.0,141.0,691.0,656.0,68.0,0.07400000000000001,0.193,0.134,0.31,0.263,0.327,0.397,0.315,86.0,,-2.2,-115.0,-13.0,7.7,67.0,95.0,39.0,667.0,162.0,1435.0,1060.0,6.65,3.89,0.98,0.312,0.713,0.455,0.10400000000000001,4.55,4.53,4.59,12.5,67
0,2007.0,Phillies,2446.0,6537.0,213.0,892.0,850.0,138.0,0.098,0.184,0.184,0.311,0.274,0.354,0.458,0.351,105.0,,20.6,63.6,78.5,34.9,89.0,73.0,42.0,660.0,162.0,1458.1,1050.0,6.48,3.44,1.22,0.301,0.715,0.435,0.11900000000000001,4.76,4.86,4.52,9.9,89
1,2007.0,Yankees,2366.0,6528.0,201.0,968.0,929.0,123.0,0.098,0.152,0.174,0.318,0.29,0.366,0.463,0.361,119.0,,11.9,168.4,-47.2,33.9,94.0,68.0,34.0,684.0,162.0,1450.2,1009.0,6.26,3.59,0.93,0.299,0.706,0.428,0.085,4.5,4.51,4.7,13.5,94
2,2007.0,Tigers,2269.0,6364.0,177.0,887.0,857.0,103.0,0.07400000000000001,0.166,0.171,0.323,0.287,0.345,0.458,0.347,108.0,,8.0,75.1,19.4,30.7,88.0,74.0,44.0,605.0,162.0,1447.1,1047.0,6.51,3.52,1.08,0.295,0.7070000000000001,0.442,0.102,4.58,4.67,4.59,11.1,88
3,2007.0,Red Sox,2278.0,6426.0,166.0,867.0,829.0,96.0,0.107,0.162,0.165,0.315,0.279,0.362,0.444,0.352,109.0,,-5.0,70.7,11.8,29.7,96.0,66.0,45.0,613.0,162.0,1438.2,1149.0,7.19,3.02,0.94,0.284,0.735,0.426,0.087,3.87,4.14,4.28,18.4,96
4,2007.0,Mets,2335.0,6344.0,177.0,804.0,761.0,200.0,0.087,0.155,0.157,0.303,0.275,0.342,0.432,0.336,100.0,,14.2,17.4,57.5,27.7,88.0,74.0,39.0,661.0,162.0,1452.1,1134.0,7.03,3.53,1.02,0.287,0.7140000000000001,0.408,0.092,4.27,4.46,4.52,14.6,88
5,2007.0,Braves,2398.0,6374.0,176.0,810.0,781.0,64.0,0.084,0.18,0.16,0.314,0.275,0.339,0.435,0.337,99.0,,-6.2,-12.5,80.5,27.2,84.0,78.0,36.0,690.0,162.0,1456.1,1106.0,6.83,3.32,1.06,0.288,0.7240000000000001,0.45299999999999996,0.10800000000000001,4.11,4.45,4.29,13.1,84
6,2007.0,Brewers,2330.0,6238.0,231.0,801.0,774.0,96.0,0.08,0.182,0.194,0.289,0.262,0.329,0.456,0.337,100.0,,7.4,7.7,44.1,25.1,83.0,79.0,49.0,654.0,162.0,1444.1,1174.0,7.32,3.16,1.0,0.308,0.7020000000000001,0.415,0.092,4.44,4.22,4.29,18.8,83
7,2007.0,Rockies,2407.0,6498.0,171.0,860.0,823.0,100.0,0.096,0.177,0.158,0.322,0.28,0.354,0.437,0.346,97.0,,10.1,-19.4,41.6,23.1,90.0,73.0,39.0,692.0,163.0,1472.0,967.0,5.91,3.08,1.0,0.29,0.711,0.465,0.099,4.32,4.52,4.48,16.5,90
