,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
0,2017.0,Astros,2313.0,6271.0,238.0,896.0,854.0,98.0,0.081,0.17300000000000001,0.196,0.309,0.282,0.346,0.478,0.349,121.0,88.0,-0.4,162.6,-37.9,33.7,101.0,61.0,45.0,681.0,162.0,1446.0,1593.0,9.91,3.25,1.2,0.3,0.737,0.473,0.149,4.12,3.91,3.77,19.0,101
1,2017.0,Dodgers,2464.0,6191.0,221.0,770.0,730.0,77.0,0.105,0.223,0.188,0.293,0.249,0.334,0.437,0.33,104.0,88.2,5.8,40.7,90.2,33.3,104.0,58.0,51.0,698.0,162.0,1444.2,1549.0,9.65,2.75,1.15,0.281,0.778,0.42700000000000005,0.134,3.38,3.67,3.7,21.7,104
2,2017.0,Yankees,2294.0,6354.0,241.0,858.0,821.0,90.0,0.09699999999999999,0.218,0.185,0.304,0.262,0.339,0.447,0.336,109.0,87.6,11.1,82.3,-6.5,29.2,91.0,71.0,36.0,639.0,162.0,1448.2,1560.0,9.69,3.13,1.19,0.28,0.745,0.462,0.142,3.75,3.88,3.82,23.4,91
3,2017.0,Marlins,2399.0,6248.0,194.0,778.0,743.0,91.0,0.078,0.205,0.163,0.313,0.267,0.331,0.431,0.325,101.0,87.0,1.4,9.0,65.7,27.9,77.0,85.0,34.0,742.0,162.0,1442.2,1202.0,7.5,3.91,1.2,0.298,0.7070000000000001,0.425,0.122,4.82,4.69,4.9,5.5,77
4,2017.0,Cubs,2420.0,6283.0,223.0,822.0,785.0,62.0,0.099,0.223,0.182,0.302,0.255,0.338,0.437,0.331,101.0,87.4,-6.8,4.8,57.6,26.7,92.0,70.0,38.0,693.0,162.0,1447.1,1439.0,8.95,3.44,1.21,0.285,0.742,0.462,0.145,3.95,4.2,4.1,16.8,92
5,2017.0,Indians,2367.0,6234.0,212.0,818.0,780.0,88.0,0.09699999999999999,0.185,0.186,0.295,0.263,0.339,0.449,0.336,105.0,88.1,11.1,48.8,6.8,26.7,102.0,60.0,37.0,659.0,162.0,1440.2,1614.0,10.08,2.54,1.02,0.303,0.775,0.441,0.13,3.3,3.33,3.41,30.4,102
6,2017.0,Cardinals,2416.0,6219.0,196.0,761.0,728.0,81.0,0.095,0.217,0.17,0.304,0.256,0.334,0.426,0.326,101.0,87.3,2.0,8.4,51.4,26.3,83.0,79.0,43.0,708.0,162.0,1450.1,1351.0,8.38,3.06,1.14,0.298,0.736,0.46299999999999997,0.135,4.01,4.09,4.12,15.7,83
7,2017.0,Twins,2324.0,6261.0,206.0,815.0,781.0,95.0,0.095,0.214,0.174,0.306,0.26,0.334,0.434,0.329,103.0,87.6,14.4,39.7,7.2,26.0,85.0,77.0,42.0,682.0,162.0,1436.0,1166.0,7.31,3.03,1.4,0.296,0.725,0.424,0.135,4.6,4.71,4.75,8.9,85
8,2017.0,Nationals,2322.0,6214.0,215.0,819.0,796.0,108.0,0.087,0.214,0.183,0.311,0.266,0.332,0.449,0.331,99.0,88.1,11.9,2.4,38.7,24.4,97.0,65.0,46.0,649.0,162.0,1446.2,1457.0,9.06,3.08,1.18,0.287,0.7440000000000001,0.44,0.128,3.88,3.99,4.12,23.0,97
9,2017.0,Mets,2396.0,6169.0,224.0,735.0,713.0,58.0,0.086,0.209,0.184,0.286,0.25,0.32,0.434,0.322,101.0,87.1,-11.3,-7.2,32.1,22.6,70.0,92.0,34.0,730.0,162.0,1434.2,1374.0,8.62,3.72,1.38,0.319,0.705,0.444,0.149,5.01,4.59,4.42,8.7,70
